"name: Tumbarumba Medical Practice
payment-methods: Cash
facilities: Onsite Pathology; Onsite Allied Health; Pharmacy Nearby
accreditations: Australian General Practice Accreditation Limited
open_saturday: Yes
wheelchair_access: Yes
accepts_dva_card: No
accepts_healthcare_card: No
billing: bulk_billing
telehealth: some
languages_spoken: English; Yoruba
main_category: General Practitioner
suburb: Tumbarumba
state: NSW"
"name: South Kempsey Medical Centre
payment-methods: EFTPOS; Mastercard; Visa; Cash
facilities: Onsite Pathology
accreditations: Australian General Practice Accreditation Limited
wheelchair_access: Yes
accepts_dva_card: No
accepts_healthcare_card: No
billing: private_billing
main_category: General Practitioner
suburb: Kempsey
state: NSW"
"name: MedOne Medical Stirling
payment-methods: Cash; EFTPOS; Visa; Mastercard
facilities: Onsite Pathology; Onsite Allied Health; Onsite Radiology; Pharmacy Nearby
accreditations: Australian General Practice Accreditation Limited
open_sunday: Yes
wheelchair_access: Yes
accepts_dva_card: Yes
accepts_healthcare_card: Yes
billing: mixed_billing
telehealth: some
languages_spoken: English; Mandarin; Bahasa
main_category: General Practitioner
suburb: Stirling
state: WA
city: Perth"
"name: Queens Beach Medical Centre
payment-methods: Cash; EFTPOS; Visa; Mastercard; Cheque
facilities: Pathology Nearby; Radiology Nearby
accreditations: Australian General Practice Accreditation Limited
wheelchair_access: Yes
accepts_dva_card: Yes
accepts_healthcare_card: Yes
billing: mixed_billing
telehealth: some
languages_spoken: English; Arabic; Burmese
main_category: General Practitioner
suburb: Bowen
state: QLD"
"name: Grandview Medical Practice
payment-methods: Cash
facilities: Pathology Nearby; Radiology Nearby; Pharmacy Nearby; Allied Health Nearby
accreditations: Australian General Practice Accreditation Limited
open_saturday: Yes
wheelchair_access: Yes
accepts_dva_card: Yes
accepts_healthcare_card: No
billing: mixed_billing
telehealth: some
languages_spoken: Cantonese; English; Mandarin
main_category: General Practitioner
suburb: Ashfield
state: NSW
city: Sydney"
"name: Appearance Medical & Day Procedure Centre
wheelchair_access: Yes
accepts_dva_card: Yes
accepts_healthcare_card: Yes
billing: mixed_billing
languages_spoken: English
main_category: General Practitioner
suburb: Bendigo
state: VIC
city: Bendigo"
"name: Mitcham General Practice
payment-methods: Cash; EFTPOS; Visa; Mastercard
facilities: Pharmacy Nearby; Pathology Nearby; Allied Health Nearby
accreditations: Australian General Practice Accreditation Limited
open_saturday: Yes
after_hours: Yes
wheelchair_access: Yes
accepts_dva_card: No
accepts_healthcare_card: No
billing: private_billing
telehealth: some
languages_spoken: English; German
main_category: General Practitioner
suburb: Kingswood
state: SA
city: Adelaide"
"name: Woolgoolga Medical Centre
payment-methods: Cash; EFTPOS; Visa; Mastercard
facilities: Pharmacy Nearby; Allied Health Nearby; Pathology Nearby
accreditations: Australian General Practice Accreditation Limited
wheelchair_access: Yes
accepts_dva_card: Yes
accepts_healthcare_card: Yes
billing: mixed_billing
languages_spoken: English; Tamil
main_category: General Practitioner
suburb: Woolgoolga
state: NSW
city: Coffs Harbour"
"name: Shepparton Women's Health Centre
payment-methods: EFTPOS; Visa; Mastercard
facilities: Pathology Nearby; Pharmacy Nearby; Radiology Nearby
accreditations: Australian General Practice Accreditation Limited
wheelchair_access: Yes
accepts_dva_card: Yes
